Name,Age
Miss. Mary Mangan,30.5
Mr. Daniel J Moran,28
Mr. Daniel Danielsen Gronnestad,32
Mr. Rene Aime Lievens,24
Mr. Niels Peder Jensen,48
Mrs. (Mary) Mack,57
Mr. Dibo Elias,29
Mrs. Elizabeth (Eliza Needs) Hocking,54
Mr. Pehr Fabian Oliver Malkolm Myhrman,18
Mr. Roger Tobin,20
Miss. Virginia Ethel Emanuel,5
Mr. Thomas J Kilgannon,22
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,43
Miss. Banoura Ayoub,13
Mrs. Albert Adrian (Vera Gillespie) Dick,17
Mr. Milton Clyde Long,29
Mr. Andrew G Johnston,35
Mr. William Ali,25
Mr. Abraham (David Lishin) Harmer,25
Miss. Anna Sofia Sjoblom,18
Master. George Hugh Rice,8
Master. Bertram Vere Dean,1
Mr. Benjamin Guggenheim,46
Mr. Andrew Keane,20
Mr. Alfred Gaskell,16
Miss. Stella Anna Sage,21
Mr. William Fisher Hoyt,43
Mr. Ristiu Dantcheff,25
Mr. Richard Otter,39
Dr. Alice (Farnham) Leader,49
Mrs. Mara Osman,31
Mr. Yousseff Ibrahim Shawah,30
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,30
Mr. Martin Ponesell,34
Mrs. Harvey (Charlotte Annie Tate) Collyer,31
Master. William Thornton II Carter,11
Master. Assad Alexander Thomas,0.42
Mr. Oskar Arvid Hedman,27
Mr. Karl Johan Johansson,31
Mr. Thomas Jr Andrews,39
Miss. Ellen Natalia Pettersson,18
Mr. August Meyer,39
Mrs. Norman Campbell (Bertha Griggs) Chambers,33
Mr. William Alexander,26
Mr. James Lester,39
Mr. Richard James Slemen,35
Miss. Ebba Iris Alfrida Andersson,6
Mr. Ernest Portage Tomlin,30.5
Mr. Richard Fry,39
Miss. Wendla Maria Heininen,23
Mr. Albert Mallet,31
Mr. John Fredrik Alexander Holm,43
Master. Karl Thorsten Skoog,10
Mrs. Charles Melville (Clara Jennings Gregg) Hays,52
Mr. Nikola Lulic,27
Jonkheer. John George Reuchlin,38
Mrs. (Beila) Moor,27
Master. Urho Abraham Panula,2
Mr. John Flynn,36
Mr. Len Lam,23
Master. Andre Mallet,1
Mr. Thomas Joseph McCormack,19
Mrs. George Nelson (Martha Evelyn) Stone,62
Mrs. Antoni (Selini Alexander) Yasbeck,15
Master. George Sibley Richards,0.83
Mr. Amin Saad,30
Mr. Albert Augustsson,23
Mr. Owen George Allum,18
Miss. Sara Rebecca Compton,39
Mr. Jakob Pasic,21
Mr. Maurice Sirota,20
Mr. Chang Chip,32
Mr. Pierre Marechal,29
Mr. Ilmari Rudolf Alhomaki,20
Mr. Thomas Charles Mudd,16
Miss. Augusta Serepeca,30
Mr. Peter L Lemberopolous,34.5
Mr. Jeso Culumovic,17
Mr. Anthony Abbing,42
Mr. Douglas Bullen Sage,18
Mr. Marin Markoff,35
Rev. John Harper,28
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,40
Master. Sigvard Harald Elias Andersson,4
Mr. Johan Svensson,74
Miss. Nourelain Boulos,9
Miss. Mary Conover Lines,16
Mrs. Ernest Courtenay (Lilian Hughes) Carter,44
Mrs. Sam (Leah Rosen) Aks,18
Mrs. George Dennick (Mary Hitchcock) Wick,45
Mr. Peter Denis Daly,51
Mrs. Solomon (Latifa Qurban) Baclini,24
Mr. Raihed Razi,30
Mr. Claus Peter Hansen,41
Mr. Frederick Edward Giles,21
Mrs. Frederick Joel (Margaret Welles Barron) Swift,48
Miss. Dorothy Edith Sage,14
Mr. John William Gill,24
Mrs. (Karolina) Bystrom,42
Miss. Asuncion Duran y More,27
Mr. Washington Augustus II Roebling,31
Mr. Philemon van Melkebeke,23
Master. Harold Theodor Johnson,4
Mr. Cerin Balkic,26
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,47
Mr. Frans Olof Carlsson,33
Mr. Victor Vander Cruyssen,47
Mrs. Samuel (Hannah Wizosky) Abelson,28
Miss. Adele Kiamie Najib,15
Mr. Alfred Ossian Gustafsson,20
Mr. Nedelio Petroff,19
Mr. Kristo Laleff,23
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,56
Mrs. William (Imanita Parrish Hall) Shelley,25
Mr. Johann Markun,33
Miss. Gerda Ulrika Dahlberg,22
Mr. Frederick James Banfield,28
Mr. Henry Jr Sutehall,25
Mrs. William (Margaret Norton) Rice,39
Rev. Juozas Montvila,27
Miss. Margaret Edith Graham,19
Miss. Catherine Helen Johnston,7
Mr. Karl Howell Behr,26
Mr. Patrick Dooley,32
